Season,Team,League,GP,G,A,TP,PIM,PlusMinus,PlayerID
2008-09,Czech Republic U18,WJC-18,6,2,2,4,6,0,19353
2008-09,Czech Republic U18 (all),International-Jr,6,2,2,4,6,,19353
2008-09,Lada Togliatti,KHL,47,8,5,13,22,1,11856
2008-09,Lada Togliatti-2,Russia3,7,5,2,7,6,,11856
2008-09,Russia U20,WJC-20,7,3,5,8,2,2,11856
2008-09,Hotchkiss School,USHS-Prep,15,4,11,15,-,,37894
2008-09,Neponset Valley River Rats U18,MHSL U18,16,5,19,24,-,,37894
2008-09,U.S. National U18 Team,USDP,43,14,24,38,48,,17500
2008-09,U.S. National U18 Team,NAHL,14,7,9,16,10,9,17500
2008-09,USA U18,WJC-18,7,1,6,7,12,4,17500
2008-09,Everett Silvertips,WHL,48,1,3,4,103,-17,31082
2008-09,Western Michigan Univ.,NCAA,40,7,11,18,44,-1,38032
2008-09,Rouyn-Noranda Huskies,QMJHL,68,11,19,30,80,3,37437
2008-09,Swift Current Broncos,WHL,54,24,24,48,42,18,23166
2008-09,Canada U18,WJC-18,6,2,0,2,2,0,23166
2008-09,Canada U18,JWC-18,4,2,1,3,0,,23166
2008-09,Prince Albert Raiders,WHL,70,5,32,37,43,-15,32780
2008-09,Brynäs IF J18,J18 Allsvenskan,3,1,1,2,48,,11173
2008-09,Brynäs IF J18,J18 Elit,2,1,2,3,2,,11173
2008-09,Brynäs IF J20,SuperElit,30,9,22,31,54,,11173
2008-09,Brynäs IF,SHL,21,0,1,1,2,-2,11173
2008-09,Sweden U18,WJC-18,6,0,1,1,6,5,11173
2008-09,Sweden U18 (all),International-Jr,19,4,6,10,22,,11173
2008-09,Skellefteå AIK J18,J18 Allsvenskan,2,0,0,0,6,,6021
2008-09,Skellefteå AIK J20,SuperElit,31,8,5,13,46,,6021
2008-09,Skellefteå AIK,SHL,7,1,0,1,0,-1,6021
2008-09,Sweden U18,WJC-18,6,0,0,0,4,-4,6021
2008-09,Sweden U18 (all),International-Jr,22,4,3,7,20,,6021
2008-09,Totino-Grace High,USHS-MN,24,30,22,52,14,,38048
2008-09,Rimouski Océanic,QMJHL,66,3,25,28,64,-6,13583
2008-09,Rimouski Océanic,M-Cup,4,0,0,0,2,-1,13583
2008-09,Mississauga St. Michael's Majors,OHL,55,16,20,36,39,-15,14960
2008-09,Barrie Colts,OHL,63,34,34,68,60,27,15380
2008-09,Moncton Wildcats,QMJHL,68,9,35,44,33,29,32878
2008-09,Medicine Hat Tigers,WHL,71,24,48,72,20,-2,28422
2008-09,Saginaw Spirit,OHL,67,17,34,51,76,17,23107
2008-09,Waterloo Black Hawks,USHL,54,28,48,76,108,32,27038
2008-09,USA U19,WJAC-19,5,3,5,8,2,,27038
2008-09,Vernon Vipers,BCHL,58,8,25,33,126,,38020
2008-09,Vernon Vipers,Doyle Cup,4,0,2,2,6,,38020
2008-09,Miami Univ. (Ohio),NCAA,39,0,26,26,56,11,38081
2008-09,Ilves U20,Jr. A SM-liiga,31,14,17,31,18,15,16035
2008-09,Ilves,Liiga,21,2,3,5,0,0,16035
2008-09,Suomi U20,Mestis,4,1,2,3,2,2,16035
2008-09,Finland U18,WJC-18,6,10,9,19,6,10,16035
2008-09,Finland U18 (all),International-Jr,21,18,22,40,10,,16035
2008-09,Finland U20,WJC-20,6,2,1,3,4,0,16035
2008-09,Mora IK J20,SuperElit,21,3,5,8,32,,8373
2008-09,Mora IK,Allsvenskan,38,2,11,13,12,7,8373
2008-09,Sweden U19 (all),International-Jr,8,1,2,3,6,,8373
2008-09,Canmore Eagles,AJHL,32,18,23,41,84,,32805
2008-09,Kootenay Ice,WHL,4,0,1,1,4,0,32805
2008-09,Calgary Hitmen,WHL,22,9,7,16,12,5,32805
2008-09,Sudbury Wolves,OHL,65,12,18,30,96,-21,18601
2008-09,Red Deer Rebels,WHL,32,0,4,4,30,-6,24531
2008-09,JYP U18,Jr. B SM-sarja Q,3,1,1,2,14,,16044
2008-09,JYP U18,Jr. B I-divisioona,2,2,3,5,0,,16044
2008-09,JYP U20,Jr. A SM-liiga,20,3,7,10,22,-8,16044
2008-09,D Team,Mestis,5,1,1,2,8,-2,16044
2008-09,Suomi U20,Mestis,2,0,0,0,2,0,16044
2008-09,Finland U18,WJC-18,6,1,1,2,2,6,16044
2008-09,Finland U18 (all),International-Jr,22,5,12,17,48,,16044
2008-09,Owen Sound Attack,OHL,53,17,18,35,44,-7,23809
2008-09,Kamloops Blazers,WHL,68,30,39,69,82,-4,18880
2008-09,Dynamo Moskva-2,Russia3,29,20,26,46,52,,38656
2008-09,Roseau High,USHS-MN,8,4,10,14,6,,37916
2008-09,Fargo Force,USHL,12,1,1,2,11,-3,37916
2008-09,Färjestad BK,SHL,10,0,0,0,0,-1,7101
2008-09,Skåre BK J20,J20 Elit,1,2,0,2,4,,7101
2008-09,Skåre BK,Division 1,38,21,14,35,83,,7101
2008-09,Sweden U19 (all),International-Jr,8,0,2,2,4,,7101
2008-09,Owen Sound Attack,OHL,26,8,6,14,85,-1,23003
2008-09,Windsor Spitfires,OHL,38,7,14,21,112,23,23003
2008-09,Windsor Spitfires,M-Cup,6,0,1,1,6,0,23003
2008-09,Nepean Raiders,CJHL,55,12,29,41,50,,38058
2008-09,Canada East U19,WJAC-19,4,0,1,1,2,,38058
2008-09,Sioux City Musketeers,USHL,58,4,12,16,64,-10,33895
2008-09,USA U19,WJAC-19,5,0,0,0,8,,33895
2008-09,Waterloo Black Hawks,USHL,58,7,27,34,75,22,31602
2008-09,Shattuck St. Mary's Midget Prep,USHS-Prep,52,40,47,87,52,,7054
2008-09,Everett Silvertips,WHL,72,19,38,57,30,-13,31081
2008-09,Canada U18,WJC-18,6,4,3,7,4,6,31081
2008-09,Guelph Storm,OHL,67,2,10,12,111,11,33875
2008-09,Shawinigan Cataractes,QMJHL,68,37,53,90,42,56,23202
2008-09,Lokomotiv Yaroslavl,KHL,1,0,0,0,0,0,17575
2008-09,Lokomotiv Yaroslavl-2,Russia3,68,5,13,18,68,,17575
2008-09,Delbarton School,USHS-Prep,30,16,35,51,42,,38064
2008-09,Saginaw Spirit,OHL,66,1,6,7,128,4,23108
2008-09,Owen Sound Attack,OHL,63,18,28,46,52,-5,14642
2008-09,Providence Bruins,AHL,4,0,0,0,0,4,14642
2008-09,HC Ceské Budejovice U20,Czech U20,31,16,17,33,14,13,18089
2008-09,HC Ceske Budejovice,Czech,8,0,0,0,0,-1,18089
2008-09,Czech Republic U18,WJC-18,6,2,1,3,4,-5,18089
2008-09,Czech Republic U18 (all),International-Jr,18,6,8,14,22,,18089
2008-09,HC Ceske Budejovice,Champions HL,1,1,0,1,0,,18089
2008-09,Philadelphia Jr. Flyers 18U,AYHL 18U,51,13,32,45,30,,38031
2008-09,Edmonton Oil Kings,WHL,49,17,19,36,23,2,12565
2008-09,Czech Republic U20,WJC-20,6,0,3,3,2,2,12565
2008-09,Czech Republic U20 (all),International-Jr,12,2,5,7,14,,12565
2008-09,Drummondville Voltigeurs,QMJHL,62,52,42,94,86,25,18800
2008-09,Drummondville Voltigeurs,M-Cup,4,0,1,1,4,-3,18800
2008-09,Guelph Storm,OHL,67,33,40,73,95,1,30030
2008-09,Syracuse Crunch,AHL,4,1,0,1,2,0,30030
2008-09,Baie-Comeau Drakkar,QMJHL,60,22,39,61,82,-4,28421
2008-09,Malden Catholic High,USHS-Prep,23,6,23,29,-,,40881
2008-09,Boston Jr. Bruins,EJHL,32,5,10,15,18,,40881
2008-09,Okotoks Oilers,AJHL,61,34,38,72,55,,38063
2008-09,Tri-City Storm,USHL,47,21,12,33,37,-23,27025
2008-09,Phillips Exeter Academy,USHS-Prep,35,14,38,52,30,,38061
2008-09,Boston Little Bruins,Midget,18,1,1,2,10,,38061
2008-09,South Kent Prep.,USHS-Prep,32,27,36,63,18,,38054
2008-09,Drummondville Voltigeurs,QMJHL,51,28,21,49,63,28,36736
2008-09,Drummondville Voltigeurs,M-Cup,4,2,0,2,4,-2,36736
2008-09,Surrey Eagles,BCHL,60,20,21,41,32,,38046
2008-09,Frölunda HC J18,J18 Elit,1,0,0,0,0,,10071
2008-09,Frölunda HC J18,J18 Allsvenskan,4,0,1,1,4,,10071
2008-09,Frölunda HC J20,SuperElit,36,3,5,8,42,,10071
2008-09,Sweden U18,WJC-18,6,1,0,1,6,2,10071
2008-09,Sweden U18 (all),International-Jr,22,3,2,5,22,,10071
2008-09,Okotoks Oilers,AJHL,41,17,12,29,69,,40882
2008-09,Mississauga St. Michael's Majors,OHL,64,3,25,28,89,21,15383
2008-09,Cedar Rapids Roughriders,USHL,54,24,9,33,73,8,33899
2008-09,London Knights,OHL,58,19,33,52,32,13,15485
2008-09,Djurgårdens IF J20,SuperElit,34,9,30,39,24,,8311
2008-09,Djurgårdens IF,SHL,15,2,2,4,2,3,8311
2008-09,Sweden U19 (all),International-Jr,6,2,3,5,2,,8311
2008-09,Green Bay Gamblers,USHL,52,5,17,22,27,34,37773
2008-09,Belleville Bulls,OHL,44,4,12,16,10,6,33614
2008-09,Edina High,USHS-MN,25,20,46,66,22,,19068
2008-09,Team Southwest,USHS-MN,18,12,17,29,-,,19068
2008-09,Shawinigan Cataractes,QMJHL,59,13,48,61,76,23,23201
2008-09,Kamloops Blazers,WHL,72,25,32,57,41,-3,23159
2008-09,Mississauga St. Michael's Majors,OHL,68,19,46,65,121,7,15707
2008-09,Kelowna Rockets,WHL,71,12,9,21,77,-4,30440
2008-09,Kelowna Rockets,M-Cup,4,0,0,0,0,-1,30440
2008-09,U.S. National U18 Team,USDP,42,15,27,42,57,,31274
2008-09,U.S. National U18 Team,NAHL,11,8,6,14,4,10,31274
2008-09,USA U18,WJC-18,7,4,9,13,8,5,31274
2008-09,Penticton Vees,BCHL,53,30,34,64,90,,19277
2008-09,Canada West U19,WJAC-19,4,1,0,1,6,,19277
2008-09,Ottawa 67's,OHL,68,34,26,60,48,21,23812
2008-09,Blues U20,Jr. A SM-liiga,9,1,2,3,31,2,15136
2008-09,Kitchener Rangers,OHL,38,25,24,49,28,0,18618
2008-09,Windsor Spitfires,OHL,28,10,14,24,33,6,18618
2008-09,Windsor Spitfires,M-Cup,6,1,2,3,8,-2,18618
2008-09,London Nationals,GOJHL,22,6,10,16,48,,30688
2008-09,London Knights,OHL,17,0,0,0,20,6,30688
2008-09,Oshawa Generals,OHL,26,1,8,9,51,-12,30688
2008-09,Malmö Redhawks J20,SuperElit,31,2,14,16,73,3,7234
2008-09,Malmö Redhawks,Allsvenskan,13,0,3,3,8,-2,7234
2008-09,Sweden U19 (all),International-Jr,4,0,1,1,6,,7234
2008-09,Erie Otters,OHL,61,1,16,17,28,24,37634
2008-09,Trenton Hercs,OJHL,32,22,20,42,20,,38042
2008-09,Kingston Voyageurs,OJHL,12,10,11,21,8,,38042
2008-09,Kingston Voyageurs,Dudley Hewitt Cup,4,1,3,4,2,,38042
2008-09,Kingston Voyageurs,RBC Cup,5,3,1,4,6,,38042
2008-09,Sudbury Wolves,OHL,44,2,14,16,60,-8,37729
2008-09,Windsor Spitfires,OHL,61,16,18,34,12,27,23008
2008-09,Windsor Spitfires,M-Cup,6,1,3,4,2,1,23008
2008-09,Shawinigan Cataractes,QMJHL,53,3,1,4,111,0,18872
2008-09,Regina Pats,WHL,71,10,5,15,140,-15,21032
2008-09,Canada U18,WJC-18,6,0,1,1,6,0,21032
2008-09,Belleville Bulls,OHL,36,10,5,15,60,2,31565
2008-09,Kitchener Rangers,OHL,37,14,8,22,39,-14,31565
2008-09,Cumberland Grads,CJHL,58,22,38,60,78,,38052
2008-09,Canada East U19,WJAC-19,4,1,2,3,4,,38052
2008-09,KalPa U20,Jr. A SM-liiga,29,1,8,9,56,-2,17287
2008-09,Finland U18,WJC-18,6,0,0,0,10,-1,17287
2008-09,Finland U18 (all),International-Jr,18,2,1,3,52,,17287
2008-09,Calgary Hitmen,WHL,72,40,68,108,58,50,23151
2008-09,Kelowna Rockets,WHL,70,14,13,27,188,11,36708
2008-09,Kelowna Rockets,M-Cup,4,0,1,1,2,1,36708
2008-09,Linköping HC J20,SuperElit,0,0,0,0,0,,4996
2008-09,Linköping HC,SHL,14,0,1,1,6,-6,4996
2008-09,IK Oskarshamn,Allsvenskan,29,2,4,6,22,-7,4996
2008-09,Sweden U20,WJC-20,6,0,2,2,2,4,4996
2008-09,Sweden U20 (all),International-Jr,15,1,5,6,10,,4996
2008-09,Shattuck St. Mary's Midget Prep,USHS-Prep,53,26,58,84,46,,16042
2008-09,Finland U18,WJC-18,6,3,1,4,2,-6,16042
2008-09,Finland U18 (all),International-Jr,15,6,8,14,8,,16042
2008-09,Shattuck St. Mary's Midget Prep,USHS-Prep,54,7,25,32,70,,17654
2008-09,Belarus U18,WJC-18 D1,4,1,1,2,2,3,17654
2008-09,Nobles Prep,USHS-Prep,29,5,29,34,16,,38049
2008-09,Spokane Chiefs,WHL,71,23,36,59,57,31,18603
2008-09,Sault Ste. Marie Greyhounds,OHL,64,16,27,43,158,-17,23805
2008-09,Saint John Sea Dogs,QMJHL,67,19,29,48,47,-19,33846
2008-09,London Knights,OHL,14,0,0,0,21,-2,31574
2008-09,Peterborough Petes,OHL,20,0,2,2,36,-7,31574
2008-09,Prince George Cougars,WHL,59,16,24,40,34,-13,17752
2008-09,Slovakia U20,WJC-20,7,0,4,4,4,-4,17752
2008-09,Avon Old Farms School,USHS-Prep,-,-,-,-,-,,40883
2008-09,Lincoln Stars,USHL,51,3,7,10,162,0,33912
2008-09,Victoria Grizzlies,BCHL,41,6,17,23,32,,40884
2008-09,Westside Warriors,BCHL,17,6,11,17,10,,40884
2008-09,Dallas Stars  U18,T1EHL U18,46,16,38,54,38,,40885
2008-09,Shawinigan Cataractes,QMJHL,63,28,16,44,66,22,36718
2008-09,Cedar Rapids Roughriders,USHL,60,8,25,33,56,7,37788
2008-09,St. Cloud State Univ.,NCAA,28,0,1,1,38,-5,6660
2008-09,Denmark U20,WJC-20 D1,5,0,0,0,6,-4,6660
2008-09,Mississauga St. Michael's Majors,OHL,59,9,3,12,135,1,23046
2008-09,St. Louis Bandits,NAHL,3,0,0,0,2,-1,39372
2008-09,Wenatchee Wild,NAHL,43,16,33,49,71,9,39372
2008-09,Tri-City Storm,USHL,26,10,19,29,11,-17,16691
2008-09,Indiana Ice,USHL,30,24,23,47,12,2,16691
2008-09,USA U19,WJAC-19,5,5,5,10,2,,16691
2008-09,Mechel Chelyabinsk,Russia2,35,2,4,6,40,7,29170
2008-09,Mechel Chelyabinsk-2,Russia3,3,0,1,1,4,,29170
2008-09,Russia U20,WJC-20,7,0,2,2,2,6,29170
2008-09,Russian Selects,CHL Challenge,6,1,0,1,22,-1,29170
2008-09,Saskatoon Blades,WHL,71,22,35,57,41,31,32769
2008-09,Duluth East High,USHS-MN,25,28,20,48,20,,38044
2008-09,Waterloo Black Hawks,USHL,59,32,22,54,59,17,19154
2008-09,Merritt Centennials,BCHL,30,2,10,12,16,,38056
2008-09,Cowichan Valley Capitals,BCHL,16,2,4,6,2,,38056
2008-09,Prince Edward Island Rocket,QMJHL,68,39,41,80,49,32,32873
2008-09,Nepean Raiders,CJHL,38,14,21,35,54,,33901
2008-09,Canada East U19,WJAC-19,4,1,0,1,6,,33901
2008-09,Eisbären Berlin,DEL,7,0,1,1,2,2,17622
2008-09,Eisbären Juniors Berlin,Germany3,47,14,25,39,104,,17622
2008-09,Germany U20,WJC-20,6,0,0,0,4,-4,17622
2008-09,Eisbären Berlin,Champions HL,1,0,0,0,0,0,17622
2008-09,Red Deer Rebels,WHL,65,1,21,22,49,-9,16045
2008-09,Finland U18,WJC-18,6,0,3,3,22,3,16045
2008-09,Finland U18 (all),International-Jr,12,3,4,7,40,,16045
2008-09,Finland U20,WJC-20,6,1,0,1,6,0,16045
2008-09,Québec Remparts,QMJHL,67,11,32,43,24,14,37467
2008-09,HV71 J20,SuperElit,41,8,28,36,44,,10378
2008-09,Sweden U18 (all),International-Jr,14,1,3,4,10,,10378
2009-10,Windsor Spitfires,OHL,57,40,66,106,56,46,14360
2009-10,Canada U20,WJC-20,6,6,6,12,0,3,14360
2009-10,Windsor Spitfires,M-Cup,4,5,4,9,2,8,14360
2009-10,Plymouth Whalers,OHL,63,48,58,106,54,17,23807
2009-10,Canada U18,JWC-18,4,4,6,10,6,,23807
2009-10,Kingston Frontenacs,OHL,41,2,21,23,68,11,31282
2009-10,Canada U18,WJC-18,6,0,1,1,4,2,31282
2009-10,Portland Winterhawks,WHL,71,25,44,69,53,17,45512
2009-10,Portland Winterhawks,WHL,65,36,24,60,68,11,17679
2009-10,Switzerland U18 (all),International-Jr,7,3,7,10,8,,17679
2009-10,Switzerland U20,WJC-20,7,6,4,10,10,-2,17679
2009-10,Switzerland U20 (all),International-Jr,13,11,6,17,14,,17679
2009-10,Switzerland,WC,4,0,0,0,4,0,17679
2009-10,Switzerland (all),International,7,0,0,0,4,,17679
2009-10,Prince George Cougars,WHL,16,10,9,19,8,-3,23297
2009-10,Canada U18,WJC-18,4,1,0,1,10,0,23297
2009-10,Canada U18,Hlinka Memorial,2,0,1,1,0,,23297
2009-10,Kitchener Rangers,OHL,64,50,40,90,72,7,23668
2009-10,Canada U18,Hlinka Memorial,4,6,0,6,16,,23668
2009-10,Barrie Colts,OHL,62,22,43,65,49,32,22927
2009-10,Russia U20,WJC-20,6,3,1,4,6,2,22927
2009-10,Russian Selects,Jr Super Series,2,0,2,2,4,-1,22927
2009-10,HIFK,Liiga,43,13,27,40,2,11,16037
2009-10,Suomi U20,Mestis,1,0,0,0,0,0,16037
2009-10,Finland U18,WJC-18,6,4,9,13,4,0,16037
2009-10,Finland U18 (all),International-Jr,2,0,0,0,4,,16037
2009-10,Finland U20,WJC-20,6,1,6,7,4,-4,16037
2009-10,Finland U20 (all),International-Jr,10,2,8,10,6,,16037
2009-10,Finland,EHT,3,1,1,2,0,-1,16037
2009-10,Moose Jaw Warriors,WHL,65,7,17,24,169,20,37170
2009-10,Windsor Spitfires,OHL,55,8,47,55,14,38,31261
2009-10,USA U20,WJC-20,7,0,2,2,4,8,31261
2009-10,Windsor Spitfires,M-Cup,4,2,4,6,0,8,31261
2009-10,Moncton Wildcats,QMJHL,58,9,34,43,54,31,19428
2009-10,Moncton Wildcats,M-Cup,3,1,2,3,0,-1,19428
2009-10,QMJHL All-Stars,CHL Challenge,2,0,0,0,0,0,19428
2009-10,Tri-City Storm,USHL,60,33,50,83,18,-6,33907
2009-10,Canada U18,Hlinka Memorial,4,2,2,4,0,,33907
2009-10,USNTDP Juniors,USHL,26,4,10,14,26,12,31265
2009-10,U.S. National U18 Team,USDP,65,5,23,28,46,,31265
2009-10,USA U18,WJC-18,7,0,2,2,6,9,31265
2009-10,Sibir Novosibirsk,KHL,42,13,11,24,18,9,24787
2009-10,Sibirskie Snaipery Novosibirsk,MHL,1,1,0,1,0,1,24787
2009-10,Russia U20,WJC-20,6,4,1,5,2,-1,24787
2009-10,Russia,EHT,3,0,0,0,0,-1,24787
2009-10,Russia (all),International,3,0,0,0,0,0,24787
2009-10,Owen Sound Attack,OHL,36,16,24,40,26,10,15388
2009-10,Windsor Spitfires,OHL,42,11,23,34,14,11,33753
2009-10,Peterborough Petes,OHL,10,9,11,20,8,5,33753
2009-10,U.S. National U18 Team,USDP,9,4,2,6,33,,33753
2009-10,USA U18,WJC-18,7,2,1,3,33,2,33753
2009-10,Team Northwest,USHS-MN,23,13,8,21,18,,40265
2009-10,Blaine High,USHS-MN,25,29,31,60,24,,40265
2009-10,U.S. National U18 Team,USDP,4,0,0,0,0,,40265
2009-10,Blaine High,MN State,2,0,0,0,0,,40265
2009-10,Penticton Vees,BCHL,56,41,79,120,20,,46980
2009-10,USA U19,WJAC-19,5,3,1,4,0,,46980
2009-10,Univ. of Notre Dame,NCAA,37,6,11,17,22,-10,33929
2009-10,USNTDP Juniors,USHL,26,4,5,9,68,14,20706
2009-10,U.S. National U18 Team,USDP,39,2,6,8,37,,20706
2009-10,USA U18,WJC-18,7,1,1,2,10,8,20706
2009-10,Edmonton Oil Kings,WHL,48,7,17,24,47,-19,23154
2009-10,Canada U18,Hlinka Memorial,4,0,2,2,2,,23154
2009-10,Noble & Greenough School,USHS-Prep,29,25,44,69,8,,40243
2009-10,Cape Cod Whalers U18,MHSL U18,25,21,30,51,-,,40243
2009-10,U.S. National U18 Team,USDP,2,2,0,2,0,,40243
2009-10,Moose Jaw Warriors,WHL,65,28,37,65,44,14,31281
2009-10,Canada U18,WJC-18,6,4,2,6,4,9,31281
2009-10,Canada U18,Hlinka Memorial,4,0,0,0,2,,31281
2009-10,Traktor Chelyabinsk,KHL,35,2,6,8,10,-6,34777
2009-10,Belye Medvedi Chelyabinsk,MHL,9,4,12,16,8,12,34777
2009-10,Russia U18,WJC-18,7,5,7,12,6,8,34777
2009-10,Russia U20,WJC-20,6,2,0,2,10,1,34777
2009-10,South Shore Kings,EJHL,42,21,42,63,50,,60251
2009-10,U.S. National U18 Team,USDP,4,1,0,1,2,,60251
2009-10,Medicine Hat Tigers,WHL,72,37,28,65,26,8,20718
2009-10,Great Plains,USHS-MN,24,16,16,32,12,,74997
2009-10,Warroad High,USHS-MN,25,39,34,73,38,39,74997
2009-10,Warroad High,MN State,3,6,4,10,2,8,74997
2009-10,Minnesota State Univ. (Mankato),NCAA,38,11,8,19,27,-1,40064
2009-10,London Knights,OHL,63,36,21,57,39,16,23111
2009-10,Sudbury Wolves,OHL,64,20,30,50,70,-17,22106
2009-10,Canada U18,WJC-18,6,4,1,5,8,-3,22106
2009-10,Ottawa 67's,OHL,62,21,23,44,129,20,30923
2009-10,Brynäs IF J18,J18 Elit,3,3,5,8,14,,13161
2009-10,Brynäs IF J18,J18 Allsvenskan,3,2,2,4,2,,13161
2009-10,Brynäs IF J20,SuperElit,39,21,29,50,37,,13161
2009-10,Sweden U18,WJC-18,6,6,6,12,4,7,13161
2009-10,Sweden U18 (all),International-Jr,21,12,18,30,12,,13161
2009-10,Sweden U18/19,WJAC-19,4,0,2,2,4,,13161
2009-10,Red Deer Rebels,WHL,57,8,19,27,87,3,32778
2009-10,USNTDP Juniors,USHL,21,9,3,12,46,6,20715
2009-10,U.S. National U18 Team,USDP,39,12,9,21,20,,20715
2009-10,USA U18,WJC-18,7,1,3,4,6,8,20715
2009-10,USNTDP Juniors,USHL,22,1,8,9,12,3,20712
2009-10,U.S. National U17 Team,USDP,2,0,1,1,2,,20712
2009-10,U.S. National U18 Team,USDP,56,5,27,32,18,,20712
2009-10,USA U18,WJC-18,7,0,1,1,2,3,20712
2009-10,Kelowna Rockets,WHL,65,13,27,40,95,-7,36711
2009-10,Oshawa Generals,OHL,64,41,25,66,27,-10,30686
2009-10,Canada U18,WJC-18,6,2,1,3,6,-1,30686
2009-10,AIK J18,J18 Allsvenskan,3,0,1,1,4,,10383
2009-10,AIK J20,SuperElit,38,1,19,20,120,,10383
2009-10,AIK,Allsvenskan,16,0,3,3,8,7,10383
2009-10,Sweden U18,WJC-18,6,0,2,2,8,7,10383
2009-10,Sweden U18 (all),International-Jr,19,2,6,8,72,,10383
2009-10,Sweden U18/19,WJAC-19,4,0,1,1,6,,10383
2009-10,Mississauga St. Michael's Majors,OHL,60,29,33,62,35,27,32728
2009-10,Portland Winterhawks,WHL,71,27,41,68,203,22,32786
2009-10,Brynäs IF J20,SuperElit,35,30,27,57,55,,9782
2009-10,Brynäs IF,SHL,18,0,0,0,2,-3,9782
2009-10,Sweden U19 (all),International-Jr,7,7,7,14,4,,9782
2009-10,Peterborough Petes,OHL,47,19,35,54,12,-5,23117
2009-10,Canada U18,WJC-18,6,2,0,2,2,-4,23117
2009-10,Canada U18,JWC-18,4,1,0,1,4,,23117
2009-10,HK Orange 20,Slovakia,35,2,4,6,71,-27,34750
2009-10,HC Kosice U20,Slovakia U20,0,0,0,0,0,,34750
2009-10,Slovakia U18,WJC-18,6,2,1,3,14,3,34750
2009-10,Slovakia U20,WJC-20,6,0,2,2,6,-3,34750
2009-10,Ottawa 67's,OHL,65,37,42,79,54,25,23813
2009-10,Canada U18,JWC-18,4,3,5,8,2,,23813
2009-10,Saskatoon Blades,WHL,26,7,9,16,6,9,31288
2009-10,Des Moines Buccaneers,USHL,52,22,21,43,68,-12,45687
2009-10,U.S. National U18 Team,USDP,14,2,5,7,6,,45687
2009-10,USA U18,WJC-18,7,0,4,4,4,5,45687
2009-10,Brynäs IF J20,SuperElit,19,11,20,31,30,,6020
2009-10,Brynäs IF,SHL,33,4,6,10,2,5,6020
2009-10,Sweden U18 (all),International-Jr,4,0,3,3,0,,6020
2009-10,Sweden U19 (all),International-Jr,3,0,2,2,0,,6020
2009-10,Brampton Battalion,OHL,64,18,14,32,52,-10,39491
2009-10,Team Northeast,USHS-MN,24,13,9,22,6,,74998
2009-10,Cretin-Derham Hall,USHS-MN,24,6,14,20,20,,74998
2009-10,Minnetonka High,USHS-MN,25,17,14,31,8,,46905
2009-10,Team Southwest,USHS-MN,22,6,5,11,18,,46905
2009-10,Omaha Lancers,USHL,11,0,4,4,6,7,46905
2009-10,Minnetonka High,MN State,3,1,2,3,0,,46905
2009-10,Rimouski Océanic,QMJHL,62,28,36,64,54,-4,34805
2009-10,Czech Republic U18 (all),International-Jr,4,0,1,1,0,,34805
2009-10,Brynäs IF J18,J18 Elit,1,0,0,0,0,,9009
2009-10,Brynäs IF J18,J18 Allsvenskan,3,1,1,2,2,,9009
2009-10,Brynäs IF J20,SuperElit,40,15,19,34,80,,9009
2009-10,Sweden U18,WJC-18,5,6,8,14,0,8,9009
2009-10,Sweden U18 (all),International-Jr,16,8,14,22,37,,9009
2009-10,Sweden U18/19,WJAC-19,4,0,1,1,6,,9009
2009-10,Skellefteå AIK J20,SuperElit,30,14,23,37,44,,10711
2009-10,Skellefteå AIK,SHL,36,1,1,2,35,-7,10711
2009-10,Sweden U19 (all),International-Jr,7,6,7,13,6,,10711
2009-10,Sweden U20 (all),International-Jr,3,3,1,4,0,,10711
2009-10,USNTDP Juniors,USHL,22,11,7,18,23,6,20726
2009-10,U.S. National U18 Team,USDP,38,18,17,35,24,,20726
2009-10,USA U18,WJC-18,7,4,3,7,2,6,20726
2009-10,USA U20,WJC-20,7,2,0,2,2,0,20726
2009-10,U.S. National U18 Team,USDP,62,3,16,19,67,,20711
2009-10,USNTDP Juniors,USHL,23,1,7,8,29,12,20711
2009-10,USA U18,WJC-18,7,0,3,3,10,2,20711
2009-10,Ottawa 67's,OHL,61,19,41,60,37,2,23810
2009-10,Erie Otters,OHL,67,37,48,85,32,18,31283
2009-10,Canada U18,WJC-18,6,1,6,7,4,2,31283
2009-10,Sault Ste. Marie Greyhounds,OHL,66,7,19,26,64,-9,19612
2009-10,Canada U18,WJC-18,4,0,1,1,2,1,19612
2009-10,Canada U18,JWC-18,4,1,1,2,4,,19612
2009-10,Kootenay Ice,WHL,72,21,30,51,38,12,30443
2009-10,Canada U18,WJC-18,6,0,1,1,39,-2,30443
2009-10,Moncton Wildcats,QMJHL,22,10,13,23,34,4,19427
2009-10,Russia U18,Hlinka Memorial,4,5,2,7,4,-1,19427
2009-10,Everett Silvertips,WHL,65,7,30,37,151,45,18085
2009-10,Czech Republic U20,WJC-20,6,0,2,2,14,2,18085
2009-10,Czech Republic U20 (all),International-Jr,10,3,3,6,16,,18085
2009-10,Harvard Univ.,NCAA,32,5,4,9,47,-2,40194
2009-10,Rouyn-Noranda Huskies,QMJHL,68,20,26,46,16,26,37441
2009-10,Shattuck St. Mary's Midget Prep,USHS-Prep,52,24,22,46,39,,30055
2009-10,Regina Pats,WHL,72,35,67,102,54,3,23324
2009-10,Canada U18,WJC-18,6,3,6,9,30,8,23324
2009-10,Canada U18,Hlinka Memorial,4,1,3,4,4,,23324
